SenderPersonId;ExtractedBodyText
15;"S000 good the old. E mail is working----great to connect. Super news re rescue of our. Merchant.
Marine. Capt. I am very close to the unions of which crew are memebers. They were carrying our. forign aid food and
VERY proud to do it( let's. Salute. Them the. Navy and the. Mission
Sent from my BlackBerry Wireless Handheld"
15;"You betcha
Sent from my BlackBerry Wireless Handheld"
15;"Oops. When I wanted you to trip the light fantastic. I didn't mean that literally. Be careful. Do the therapy. Get well. Do
you still want us to come. Monday.
Sent from my BlackBerry Wireless Handheld
7"
15;"Mikulski, BAM (Mikulski) <BAM@Mikulski.senate.gov>
Friday, May 29, 2009 5:31 PM
H
Aid dir
Sent from my BlackBerry Wireless Handheld
69"
15;"No. I'm in. Dubrovnik @ a ASPEN CONF. Home sun day after 7 pm. Can be reached on. Mon. Look forward to
connecting.
Sent from my BlackBerry Wireless Handheld"
15;"Am so glad to hear frm you/Hi knew this was painful combined with logistics of being a woman--know. How streddful
this must be----the other night the. Senate. Women had dinner anyway---all sent good words. And encouragement. To
a woman theyb all said. Oh my imagine just getting dressed and the. Hair thing. Get your therapy. Get better. The
senate is slogging along health care is starting to sag. --- some days it feels like we are doing the public option off
backof envelope. Call when you can. X.
Sent from my BlackBerry Wireless Handheld"
15;"Mikulski, BAM (Mikulski) <BAM@Mikulski.senate.gov>
Saturday, February 13, 2010 9:55 AM
H
Re: Thinking
You are desparately needed
$$raisers---- did you know I've hired mandy as my media person— yes up for re elect. I'm going to go again. Like so
many of this want to make this presidency and our country work again.
Sent from my BlackBerry Wireless Handheld"
15;"Whew once again u are in the thick of thing--- but didn't it make your heart feel good about the passage of. Health.
Care----and. The. Nuns pushed it over the finish line---as usual in the fcore front of. Social. Justice and a daring
willingness. To break with the. Boys------ if you need a tonic. Go to the. Nuns exhibit @ the. Smithsonian--- Ripley.
Center. Gives the 250 year history of. Nuns in. Usa. And their role in shaping. Our country and producing 1000s of
women leaders with names like. Pelosi. Mikulski. Ferrar0. Sebilius. takes less than a hour. You are doing great
Sent from my BlackBerry Wireless Handheld"
15;"Wow What a nice suprise. Thanks 4 words of support and enthusiasm alas my gain has given omaaley his nemisis.
The erlichs r running 4 gov. Both husband/wife were looking @ senate. But. Dem. Md. Will be like NATO. An. Attack on
one an attack on all am zipping around the. State and. Tweeting. Can u believe it. Along way from our perogi tours.
NY. ---- your are the best.
Sent from my BlackBerry Wireless Handheld"
15;"Mikulski, BAM (Mikulski) <BAM@Mikulski.senate.gov>
Wednesday, August 4, 2010 9:32 PM
Good news
Shortly after we talked. Got word that. Pres. Bill was coming to do an event for me. In oct. This the $$$ and juice we
need. Will thank him myself but if you see him first --- give him a bug 4 me H!! Great getting caught up
Sent from my BlackBerry Wireless Handheld"
15;"Pres Bill Ift a $$$$ raiser 4 me and is on his way home to ufifi he was a big draw and hit. Am doing well. My opponent is
a doc who is a self funder who's media person is the guy who did that cruel campaign. Against max clealand. This
$$event is agreat insurane policy. Hope all is going great with u. You are doing such. Good. Work. Take care. And. Big.
Thanks 4Iending. Bill 4 part of eve.
Sent from my BlackBerry Wireless Handheld"
SenderPersonId;ExtractedBodyText
16;"My hair is getting whiter by the minute watching these reports of your trip to Pakistan. I know you'll do a smart job but
be very cautious as well-- I need you both in excellent shape to see ME on Nov 6 at your DC event. Love, Betsy Sent
from my Verizon Wireless BlackBerry"
16;
16;
16;"I will be out of the office and not checking email Friday, May 28, 2010; Our offices will be closed Monday, May 31. I will be back
in the office Tuesday, June 1.
/"
