SenderPersonId;ExtractedBodyText
9;"Madam Secretary,
Shapiro, Andrew J <ShapiroA@state.gov>
Friday, August 14, 2009 6:17 PM
H
Sullivan, Jacob
Colombia Defense Cooperation agreement
Our chief negotiator for the Defense Cooperation Agreement (DCA) just reported that a provisional agreement has been
reached with the Colombians. It will have to go through translation and other scrubbing over the next couple of weeks
before its ready to be signed but this should be good news for your proposed meeting with Foreign Minister Bermudez
next week. Please let me know if you have any questions.
Andrew
7"
9;Understood about expediting finalizing the agreement. I am not scheduled to see Bermudez tomorrow.
9;I'm checking and will get right back to you.
9;"DCA negotiations are still on for week after next (11-13 Aug), as requested.
Amb Barco called to request that we slide right one day (13,14 Aug). They requested this based on a visit of Mexican
President Calderon - who will visit Bogota (10-12 Aug). The dep FM and some MinDef officials want to be in Bogota for
Calderon's visit.
Let me know if you have any other questions."
9;"I will be out of the office until Tuesday, October 13 with limited access to e-mail. If you need immediate assistance,
please contact Pat Grimes at 202-647-9022.
Andrew J. Shapiro
Assistant Secretary for Political-Military Affairs Department of State
2201 C Street, NW
Washington, DC 20520"
9;"I will be out of the office until Friday September 3 with limited access to e-mail. If you need immediate assistance, please
contact Nadia Brown at 202-647-9022.
Andrew J. Shapiro
Assistant Secretary for Political-Military Affairs Department of State
2201 C Street, NW
Washington, DC 20520"
9;"Madam Secretary,
Thank you so much for making the time to address the reception celebrating the passage of the Defense Trade
Cooperation Treaties with the UK and Australia. Everyone in the room put forward tremendous effort towards achieving
the treaties passage and they appreciated the recognition of their efforts that you provided.
I'm working on a memo to you that will summarize PM's achievements during the first 18 months of my tenure as well
as the Bureau's priorities going forward. Once I send it up to you, I'll work with Eric, Jake, Cheryl, etc. on setting up a
time with you to discuss to ensure that we are capturing your priorities.
Thanks again.
Best, Andrew"
SenderPersonId;ExtractedBodyText
12;"Valenzuela, Arturo A <ValenzuelaAA@state.gov>
Saturday, December 5, 2009 3:46 PM
Re: Columbia, Brazil and Honduras
Thanks very much for contacting me-- I just got off a plane in Florida on my way to Mexico for my first visit and
consultations w Carlos Pascual. Return Wed morning.
1.4(B)
1.4(D)
B1
On Honduras we are ok-- despite complications. We maintain a principled position (no to coup), with a realistic one
based on need to have an end game for Honduras. Our formulation that election was necessary but not sufficient —
succeeded in shifting dynamic in many other countries and pushing back on erroneous press reports alleging
administration vacillation.
B5
Best regards,
Arturo"
12;
12;"Thanks very much. Will do. Have a good weekend.
Best, Arturo"
12;"Valenzuela, Arturo A <ValenzuelaAA@state.gov>
Friday, October 1, 2010 7:34 AM
Gonzalez, Juan S; Sullivan, Jacob J; Abedin, Huma; Steinberg, James B; Burns, William J
From Arturo - Correa Rescued in Ecuador
Madame Secretary: After a tense day in which President Correa was slightly injured at noon by rioting and
striking police, and later was barred from leaving the hospital by the same, the army finally rescued him at
9pm last night. Some military units, including the Navy unit in Guayaquil appeared to support the police. The
police also occupied the national congress. As the rescue took place, the head of the Ecuadoran Joints Chiefs
of Staff issued a statement supporting the president, and noting that the armed forces respect the rule of law
""in which the President [Rafael Correa] is the maximum authority of the three branches."" Things are now
calm.
Reaction in the hemisphere was one of deep concern. The OAS adopted a resolution; South American
presidents at the call of UNASUR travelled to Buenos Aires and are likely to go on to Quito to support
Correa. Several, including Garcia and Santos, called Correa. Zapatero also spoke with him. Moratinos tried to
reach you at around 6pm last evening to convey that news, I took the call.
As you know, we issued a statement of support for Correa. I also gave an interview to CNN in Spanish, which
was re-played frequently. I strongly recommend that you call Correa today to reiterate U.S. support for his
government and to wish him well.
He will appreciate it but, more broadly, it sends a signal that the United States supports the constitutional
order and rejects any attempt to undermine it. Chavez in Buenos Aires predictably declared that we were
behind the unrest. We have prepared a call sheet for you.
Regards,
Arturo"
12;"Thanks so much for doing this. I will follow up w a call to FM Patifio who I now understand was also injured after I spoke
to him yesterday."
12;"Madame Secretary:
I'd like to update you on our efforts to engage with Bolivia.
You engaged personally and through Maria Echaveste as we've tried to think and act creatively to extract positives from
a difficult starting point. Echaveste visited Bolivia in June and September 2009, and I traveled there this June to
underline our commitment to better relations; you met with FM Choquehuanca at the OAS GA in Lima later that month;
and Labor Secretary Solis and Maria Otero traveled to President Morales' inauguration in January 2010.
Best Regards,
Arturo"
12;"Valenzuela, Arturo A <ValenzuelaAA@state.gov>
Saturday, August 28, 2010 2:05 PM
Valmoro, Lona J; Huma Abedin
Re: From Arturo re Bolivia
Happy to discuss. I am on leave in Florida--- returning to DC Wednesday the 1st around 2:30 pm-- could come in after
3:00. Am available any time Thursday afternoon or Friday B6
the 3rd. Best, Arturo"
SenderPersonId;ExtractedBodyText
