SenderPersonId;ExtractedBodyText
197;"Hillary,
I would like to share the outcome of the meeting I had with Netanyahu today. I need some guidance from you urgently
and before I talk to SG (at Netanyahu's short fuse request).
I am reachable through Ops.
Many thanks,
Susan"
197;Many thanks. Will keep you posted.
SenderPersonId;ExtractedBodyText
150;"A pouch with all of your call sheets and the schedule in en route to you. Here it is below as well
Also in the pouch are a few read items, and an action memo authorizing the War Powers resolution for Tunisia that the
office would like you to approve today. Ops can send a courier over to pick up the action memo later today.
12:00 UK FM Hague
12:15 Egyptian FM Amr
12:30 Israeli PM Netanyahu
1:15 French FM Fabius
1:30 Saudi FM Saud al-Faisal
2:00 Somali Former Transitional President Sherif
2:15 Libyan PM-elect Abu-Shakour
2:30 Turkish FM Davutoglu
3:00 Somali President Mohamoud (T)
- Moroccan King is still pending.
- NEW CALL King Juan Carlos of Spain called today and offered anytime today or tomorrow. His office relayed that it is a
personal call inquiring after the status of the Embassies in the Middle East We are working on a call sheet
----"
150;"- do you approve the War Powers Act action memo?
- The King of Morocco has not gotten' back to us with a time but ops will try again when its a reasonable hour for the
Moroccans.
- Attorney General Holder has requested to speak with you regarding the Department of Justice's Libya investigation. He
is standing by Would you like to take this tonight?
U.S. Department of State
Case No. F-2015-04841
Doc No. C05739662
Date: 05/13/2015
STATE DEPT. - PRODUCED TO HOUSE SELECT BENGHAZI COMM.
SUBJECT TO AGREEMENT ON SENSITIVE INFORMATION & REDACTIONS. NO FOIA WAIVER. STATE-SCB0045339"
150;"Thank you.
We are offering 7pm to Holder and waiting to hear if he would like to speak secure.
We likely won't hear from the King for several hours but will keep you posted as soon as we do."
150;He can speak at 7pm. He said that it does not have to be secure. Ops will connect to your residence.
150;"No I'm sorry
I'm actually in Florida for the weekend.
---"
150;"His office called and said that he is available now.
Do you want to take it this morning?
----"
150;"Ops is building the call now.
Do you have the call sheet? We can email if not.
----"
150;"Its Tom DoniIon who wants to speak with you secure. Ops was mistaken. He would like to speak with you asap as he is
leaving shortly.
------"
150;Sorry for the delay. Yes, I planned on being here all week.
150;Of course. Will do
150;"Is at 7pm in the Jockey Club of the Fairfax Hotel
2100 Massachusetts Avenue Northwest"
150;Lauren can meet you there if you decide to go.
150;"Happy New Year to you, too! I'm sorry for the delay in getting back to you.
On menu: As a start, I can make a list of the lunches that he's made so far. Jason is given money advances. I'm not
positive of the total for last year since I came in April but I can have that answer for you by morning. I have skim milk for
you.
On the Human Rights Watch Report: I found it online and will print. It is 96 pages so I can put this in a binder if you'd like.
Parks and Recreation: NBC Thursdays at 8:30pm The Good Wife: CBS Tuesdays at lOpm
And it is a huge honor to work for you. I learn so much every day and I am so grateful for this unforgettable experience.
Thank you!"
150;Will do.
150;Yes I am. Huma is here too
150;"Bagley and Tauscher are all set with their tickets.
Mikulski will get here close to your arrival time so you might walk in with her - pls let me know if that's a problem.
Pelosi is coming separately and is seated close to you."
150;Thanks. Tauscher here. Mikulski around the corner. Will see you soon.
150;"Hanley, Monica R <HanleyMR©state.gov>
Wednesday, June 23, 2010 10:41 PM
Huma Abedin
She unfortunately can't come this week - she's away until Tuesday. Will see if Tuesday night or Wednesday morning
works with your schedule."
150;"Hanley, Monica R <HanleyMR@state.gov>
Wednesday, June 23, 2010 10:41 PM
Re:
Yes she's in Hawaii until Tuesday morning. She can do Tuesday evening ot Wednesday if that works for you"
150;"Will lock in for tonight.
We spoke to Marianne about coming in on the 8th."
150;I'm not. I'm in new york now. Sorry.
